PAYBACK_TYPE,LMK_KEY,RECOMMENDATION_ITEM,RECOMMENDATION_CODE,RECOMMENDATION,CO2_IMPACT
SHORT,82352487032013072515062398000496,4,EPC-V1,"In some spaces, the solar gain limit in criterion 3 of ADL2A 2010 is exceeded, which might cause overheating. Consider solar control measures such as the application of reflective coating or shading devices to windows.",MEDIUM
LONG,82352487032013072515062398000496,5,EPC-E7,"Carry out a pressure test, identify and treat identified air leakage. Enter result in EPC calculation.",MEDIUM
SHORT,82352487032013072515062398000496,5,EPC-H2,Add time control to heating system.,LOW
SHORT,82392687032013112711174268000598,1,EPC-L5,Consider replacing T8 lamps with retrofit T5 conversion kit.,HIGH
LONG,82392687032013112711174268000598,1,EPC-H3,Consider replacing heating boiler plant with a condensing type.,HIGH
MEDIUM,82392687032013112711174268000598,1,EPC-H4,The default heat generator efficiency is chosen. It is recommended that the heat generator system be investigated to gain an understanding of its efficiency and possible improvements.,HIGH
LONG,82392687032013112711174268000598,2,EPC-E7,"Carry out a pressure test, identify and treat identified air leakage. Enter result in EPC calculation.",HIGH
MEDIUM,82392687032013112711174268000598,2,EPC-E4,Some walls have uninsulated cavities - introduce cavity wall insulation.,HIGH
SHORT,82392687032013112711174268000598,2,EPC-L7,Introduce HF (high frequency) ballasts for fluorescent tubes: Reduced number of fittings required.,LOW
SHORT,82392687032013112711174268000598,3,EPC-H2,Add time control to heating system.,MEDIUM
MEDIUM,82392687032013112711174268000598,3,EPC-E5,Some windows have high U-values - consider installing secondary glazing.,HIGH
LONG,82392687032013112711174268000598,3,EPC-E8,Some glazing is poorly insulated. Replace/improve glazing and/or frames.,HIGH
LONG,82392687032013112711174268000598,4,EPC-R2,Consider installing building mounted wind turbine(s).,LOW
MEDIUM,82392687032013112711174268000598,4,EPC-H6,Add local temperature control to the heating system.,MEDIUM
SHORT,82392687032013112711174268000598,4,EPC-H1,Consider replacing heating boiler plant with high efficiency type.,HIGH
LONG,82392687032013112711174268000598,5,EPC-R3,Consider installing solar water heating.,LOW
SHORT,82392687032013112711174268000598,5,EPC-H7,Add optimum start/stop to the heating system.,MEDIUM
MEDIUM,82392687032013112711174268000598,5,EPC-H8,Add weather compensation controls to heating system.,MEDIUM
MEDIUM,82392687032013112711174268000598,6,EPC-E6,Some loft spaces are poorly insulated - install/improve insulation.,HIGH
MEDIUM,82392687032013112711174268000598,7,EPC-H5,Add local time control to heating system.,MEDIUM
LONG,82532090022013080514500728230271,1,EPC-E8,Some glazing is poorly insulated. Replace/improve glazing and/or frames.,HIGH
MEDIUM,82532090022013080514500728230271,1,EPC-E5,Some windows have high U-values - consider installing secondary glazing.,HIGH
OTHER,82532090022013080514500728230271,1,EPC-F5,Consider switching from gas to biomass.,HIGH
SHORT,82532090022013080514500728230271,1,EPC-L5,Consider replacing T8 lamps with retrofit T5 conversion kit.,HIGH
MEDIUM,82532090022013080514500728230271,2,EPC-H8,Add weather compensation controls to heating system.,MEDIUM
SHORT,82532090022013080514500728230271,2,EPC-H1,Consider replacing heating boiler plant with high efficiency type.,HIGH
LONG,82532090022013080514500728230271,2,EPC-R2,Consider installing building mounted wind turbine(s).,LOW
LONG,82532090022013080514500728230271,3,EPC-R3,Consider installing solar water heating.,LOW
MEDIUM,82532090022013080514500728230271,3,EPC-H5,Add local time control to heating system.,MEDIUM
SHORT,82532090022013080514500728230271,3,EPC-H7,Add optimum start/stop to the heating system.,MEDIUM
SHORT,82532090022013080514500728230271,4,EPC-E4,Some walls have uninsulated cavities - introduce cavity wall insulation.,HIGH
LONG,82532090022013080514500728230271,4,EPC-R4,Consider installing PV.,LOW
MEDIUM,82532090022013080514500728230271,4,EPC-H3,Consider replacing heating boiler plant with a condensing type.,HIGH
MEDIUM,82532090022013080514500728230271,5,EPC-E7,"Carry out a pressure test, identify and treat identified air leakage. Enter result in EPC calculation.",HIGH
SHORT,80612382212013060920174209009893,1,EPC-L5,Consider replacing T8 lamps with retrofit T5 conversion kit.,HIGH
LONG,80612382212013060920174209009893,1,EPC-H8,Add weather compensation controls to heating system.,MEDIUM
MEDIUM,80612382212013060920174209009893,1,EPC-H2,Add time control to heating system.,MEDIUM
MEDIUM,80612382212013060920174209009893,2,EPC-H7,Add optimum start/stop to the heating system.,MEDIUM
LONG,80612382212013060920174209009893,2,EPC-E7,"Carry out a pressure test, identify and treat identified air leakage. Enter result in EPC calculation.",HIGH
SHORT,80612382212013060920174209009893,2,EPC-L7,Introduce HF (high frequency) ballasts for fluorescent tubes: Reduced number of fittings required.,LOW
SHORT,80612382212013060920174209009893,3,EPC-V1,"In some spaces, the solar gain limit in criterion 3 of ADL2A 2010 is exceeded, which might cause overheating. Consider solar control measures such as the application of reflective coating or shading devices to windows.",MEDIUM
LONG,80612382212013060920174209009893,3,EPC-R2,Consider installing building mounted wind turbine(s).,LOW
MEDIUM,80612382212013060920174209009893,3,EPC-H4,The default heat generator efficiency is chosen. It is recommended that the heat generator system be investigated to gain an understanding of its efficiency and possible improvements.,HIGH
LONG,80612382212013060920174209009893,4,EPC-R5,Consider installing an air source heat pump.,HIGH
LONG,80612382212013060920174209009893,5,EPC-R3,Consider installing solar water heating.,LOW
MEDIUM,80765965052013061212094906009592,1,EPC-H2,Add time control to heating system.,LOW
LONG,80765965052013061212094906009592,1,EPC-H4,The default heat generator efficiency is chosen. It is recommended that the heat generator system be investigated to gain an understanding of its efficiency and possible improvements.,MEDIUM
SHORT,80765965052013061212094906009592,1,EPC-L5,Consider replacing T8 lamps with retrofit T5 conversion kit.,HIGH
LONG,80765965052013061212094906009592,2,EPC-E5,Some windows have high U-values - consider installing secondary glazing.,MEDIUM
MEDIUM,80765965052013061212094906009592,2,EPC-H7,Add optimum start/stop to the heating system.,LOW
SHORT,80765965052013061212094906009592,2,EPC-V1,"In some spaces, the solar gain limit in criterion 3 of ADL2A 2010 is exceeded, which might cause overheating. Consider solar control measures such as the application of reflective coating or shading devices to windows.",MEDIUM
LONG,80765965052013061212094906009592,3,EPC-H6,Add local temperature control to the heating system.,LOW
SHORT,80765965052013061212094906009592,3,EPC-L7,Introduce HF (high frequency) ballasts for fluorescent tubes: Reduced number of fittings required.,LOW
LONG,80765965052013061212094906009592,4,EPC-H8,Add weather compensation controls to heating system.,LOW
LONG,80765965052013061212094906009592,5,EPC-H5,Add local time control to heating system.,LOW
SHORT,80966769912013061709203704009971,1,EPC-L2,Replace tungsten GLS lamps with CFLs: Payback period dependent on hours of use.,LOW
LONG,80966769912013061709203704009971,1,EPC-E4,Some walls have uninsulated cavities - introduce cavity wall insulation.,MEDIUM
MEDIUM,80966769912013061709203704009971,1,EPC-H2,Add time control to heating system.,MEDIUM
LONG,80966769912013061709203704009971,2,EPC-E5,Some windows have high U-values - consider installing secondary glazing.,MEDIUM
MEDIUM,80966769912013061709203704009971,2,EPC-H7,Add optimum start/stop to the heating system.,MEDIUM
SHORT,80966769912013061709203704009971,2,EPC-L5,Consider replacing T8 lamps with retrofit T5 conversion kit.,HIGH
LONG,80966769912013061709203704009971,3,EPC-H6,Add local temperature control to the heating system.,MEDIUM
SHORT,80966769912013061709203704009971,3,EPC-V1,"In some spaces, the solar gain limit in criterion 3 of ADL2A 2010 is exceeded, which might cause overheating. Consider solar control measures such as the application of reflective coating or shading devices to windows.",MEDIUM
LONG,80966769912013061709203704009971,4,EPC-H8,Add weather compensation controls to heating system.,MEDIUM
SHORT,80966769912013061709203704009971,4,EPC-L7,Introduce HF (high frequency) ballasts for fluorescent tubes: Reduced number of fittings required.,LOW
LONG,80966769912013061709203704009971,5,EPC-E6,Some loft spaces are poorly insulated - install/improve insulation.,MEDIUM
LONG,78156290022013040314454220270861,1,EPC-E7,"Carry out a pressure test, identify and treat identified air leakage. Enter result in EPC calculation.",MEDIUM
LONG,78156290022013040314454220270861,2,EPC-R5,Consider installing an air source heat pump.,HIGH
LONG,78156290022013040314454220270861,3,EPC-R2,Consider installing building mounted wind turbine(s).,LOW
LONG,78156290022013040314454220270861,4,EPC-R3,Consider installing solar water heating.,LOW
LONG,78156290022013040314454220270861,5,EPC-R4,Consider installing PV.,LOW
LONG,79494480802013051209581631500050,1,EPC-E8,Some glazing is poorly insulated. Replace/improve glazing and/or frames.,MEDIUM
SHORT,79494480802013051209581631500050,1,EPC-H4,The default heat generator efficiency is chosen. It is recommended that the heat generator system be investigated to gain an understanding of its efficiency and possible improvements.,HIGH
MEDIUM,79494480802013051209581631500050,1,EPC-L5,Consider replacing T8 lamps with retrofit T5 conversion kit.,HIGH
MEDIUM,79494480802013051209581631500050,2,EPC-E5,Some windows have high U-values - consider installing secondary glazing.,MEDIUM
LONG,79494480802013051209581631500050,2,EPC-R2,Consider installing building mounted wind turbine(s).,LOW
LONG,79494480802013051209581631500050,3,EPC-R3,Consider installing solar water heating.,LOW
MEDIUM,79494480802013051209581631500050,3,EPC-H3,Consider replacing heating boiler plant with a condensing type.,HIGH
MEDIUM,79494480802013051209581631500050,4,EPC-E7,"Carry out a pressure test, identify and treat identified air leakage. Enter result in EPC calculation.",MEDIUM
LONG,79494480802013051209581631500050,4,EPC-R4,Consider installing PV.,LOW
MEDIUM,79494480802013051209581631500050,5,EPC-L7,Introduce HF (high frequency) ballasts for fluorescent tubes: Reduced number of fittings required.,LOW
LONG,79512757032013051209510789000899,1,EPC-E8,Some glazing is poorly insulated. Replace/improve glazing and/or frames.,MEDIUM
MEDIUM,79512757032013051209510789000899,1,EPC-L5,Consider replacing T8 lamps with retrofit T5 conversion kit.,HIGH
SHORT,79512757032013051209510789000899,1,EPC-V1,"In some spaces, the solar gain limit in criterion 3 of ADL2A 2010 is exceeded, which might cause overheating. Consider solar control measures such as the application of reflective coating or shading devices to windows.",MEDIUM
LONG,79512757032013051209510789000899,2,EPC-R2,Consider installing building mounted wind turbine(s).,LOW
MEDIUM,79512757032013051209510789000899,2,EPC-E5,Some windows have high U-values - consider installing secondary glazing.,MEDIUM
SHORT,79512757032013051209510789000899,2,EPC-H4,The default heat generator efficiency is chosen. It is recommended that the heat generator system be investigated to gain an understanding of its efficiency and possible improvements.,HIGH
LONG,79512757032013051209510789000899,3,EPC-R3,Consider installing solar water heating.,LOW
MEDIUM,79512757032013051209510789000899,3,EPC-H3,Consider replacing heating boiler plant with a condensing type.,HIGH
LONG,79512757032013051209510789000899,4,EPC-R4,Consider installing PV.,LOW
MEDIUM,79512757032013051209510789000899,4,EPC-L7,Introduce HF (high frequency) ballasts for fluorescent tubes: Reduced number of fittings required.,LOW
MEDIUM,79512757032013051209510789000899,5,EPC-E7,"Carry out a pressure test, identify and treat identified air leakage. Enter result in EPC calculation.",MEDIUM
LONG,79532840022013051209595802050890,1,EPC-H3,Consider replacing heating boiler plant with a condensing type.,HIGH
MEDIUM,79532840022013051209595802050890,1,EPC-H4,The default heat generator efficiency is chosen. It is recommended that the heat generator system be investigated to gain an understanding of its efficiency and possible improvements.,HIGH
SHORT,79532840022013051209595802050890,1,EPC-V1,"In some spaces, the solar gain limit in criterion 3 of ADL2A 2010 is exceeded, which might cause overheating. Consider solar control measures such as the application of reflective coating or shading devices to windows.",MEDIUM
LONG,79532840022013051209595802050890,2,EPC-L7,Introduce HF (high frequency) ballasts for fluorescent tubes: Reduced number of fittings required.,LOW
MEDIUM,79532840022013051209595802050890,2,EPC-L5,Consider replacing T8 lamps with retrofit T5 conversion kit.,HIGH
MEDIUM,79532840022013051209595802050890,3,EPC-E5,Some windows have high U-values - consider installing secondary glazing.,MEDIUM
LONG,79532840022013051209595802050890,3,EPC-E7,"Carry out a pressure test, identify and treat identified air leakage. Enter result in EPC calculation.",MEDIUM
LONG,79532840022013051209595802050890,4,EPC-E8,Some glazing is poorly insulated. Replace/improve glazing and/or frames.,MEDIUM
LONG,79532840022013051209595802050890,5,EPC-R2,Consider installing building mounted wind turbine(s).,LOW
LONG,86088120962013111821081630990430,1,EPC-E8,Some glazing is poorly insulated. Replace/improve glazing and/or frames.,HIGH
SHORT,86088120962013111821081630990430,1,EPC-L1,Replace 38mm diameter (T12) fluorescent tubes on failure with 26mm (T8) tubes.,HIGH
MEDIUM,86088120962013111821081630990430,1,EPC-E4,Some walls have uninsulated cavities - introduce cavity wall insulation.,HIGH
MEDIUM,86088120962013111821081630990430,2,EPC-E5,Some windows have high U-values - consider installing secondary glazing.,HIGH
LONG,86088120962013111821081630990430,2,EPC-R2,Consider installing building mounted wind turbine(s).,LOW
SHORT,86088120962013111821081630990430,2,EPC-L5,Consider replacing T8 lamps with retrofit T5 conversion kit.,LOW
SHORT,86088120962013111821081630990430,3,EPC-H2,Add time control to heating system.,MEDIUM
LONG,86088120962013111821081630990430,3,EPC-R3,Consider installing solar water heating.,LOW
MEDIUM,86088120962013111821081630990430,3,EPC-H6,Add local temperature control to the heating system.,MEDIUM
LONG,86088120962013111821081630990430,4,EPC-E2,Roof is poorly insulated. Install or improve insulation of roof.,HIGH
SHORT,86088120962013111821081630990430,4,EPC-H1,Consider replacing heating boiler plant with high efficiency type.,HIGH
MEDIUM,86088120962013111821081630990430,4,EPC-H8,Add weather compensation controls to heating system.,MEDIUM
LONG,86088120962013111821081630990430,5,EPC-W1,Install more efficient water heater.,MEDIUM
SHORT,86088120962013111821081630990430,5,EPC-H7,Add optimum start/stop to the heating system.,MEDIUM
MEDIUM,86088120962013111821081630990430,5,EPC-H5,Add local time control to heating system.,MEDIUM
SHORT,86088120962013111821081630990430,6,EPC-L7,Introduce HF (high frequency) ballasts for fluorescent tubes: Reduced number of fittings required.,LOW
MEDIUM,86088120962013111821081630990430,6,EPC-H3,Consider replacing heating boiler plant with a condensing type.,HIGH
SHORT,86088120962013111821081630990430,7,EPC-H4,The default heat generator efficiency is chosen. It is recommended that the heat generator system be investigated to gain an understanding of its efficiency and possible improvements.,HIGH
LONG,86764710302013120901240551709990,1,EPC-H7,Add optimum start/stop to the heating system.,MEDIUM
SHORT,86764710302013120901240551709990,1,EPC-L5,Consider replacing T8 lamps with retrofit T5 conversion kit.,HIGH
LONG,86764710302013120901240551709990,2,EPC-H4,The default heat generator efficiency is chosen. It is recommended that the heat generator system be investigated to gain an understanding of its efficiency and possible improvements.,MEDIUM
SHORT,86764710302013120901240551709990,2,EPC-L7,Introduce HF (high frequency) ballasts for fluorescent tubes: Reduced number of fittings required.,LOW
LONG,86764710302013120901240551709990,3,EPC-E4,Some walls have uninsulated cavities - introduce cavity wall insulation.,MEDIUM
LONG,86764710302013120901240551709990,4,EPC-H6,Add local temperature control to the heating system.,LOW
LONG,86764710302013120901240551709990,5,EPC-H8,Add weather compensation controls to heating system.,LOW
SHORT,87112670922013122016075770920160,1,EPC-L5,Consider replacing T8 lamps with retrofit T5 conversion kit.,HIGH
LONG,87112670922013122016075770920160,1,EPC-H8,Add weather compensation controls to heating system.,LOW
MEDIUM,87112670922013122016075770920160,1,EPC-H7,Add optimum start/stop to the heating system.,LOW
SHORT,87112670922013122016075770920160,2,EPC-L7,Introduce HF (high frequency) ballasts for fluorescent tubes: Reduced number of fittings required.,LOW
LONG,87112670922013122016075770920160,2,EPC-H5,Add local time control to heating system.,LOW
LONG,87112670922013122016075770920160,3,EPC-E7,"Carry out a pressure test, identify and treat identified air leakage. Enter result in EPC calculation.",LOW
LONG,87112670922013122016075770920160,4,EPC-R2,Consider installing building mounted wind turbine(s).,LOW
LONG,87112670922013122016075770920160,5,EPC-R3,Consider installing solar water heating.,LOW
MEDIUM,92648358012015031316534203009302,1,EPC-E7,"Carry out a pressure test, identify and treat identified air leakage. Enter result in EPC calculation.",MEDIUM
LONG,92648358012015031316534203009302,1,EPC-R2,Consider installing building mounted wind turbine(s).,LOW
SHORT,92648358012015031316534203009302,1,EPC-L5,Consider replacing T8 lamps with retrofit T5 conversion kit.,HIGH
SHORT,92648358012015031316534203009302,2,EPC-L7,Introduce HF (high frequency) ballasts for fluorescent tubes: Reduced number of fittings required.,LOW
LONG,92648358012015031316534203009302,2,EPC-R3,Consider installing solar water heating.,LOW
LONG,92648358012015031316534203009302,3,EPC-R4,Consider installing PV.,LOW
SHORT,92648358012015031316534203009302,3,EPC-E5,Some windows have high U-values - consider installing secondary glazing.,MEDIUM
SHORT,93045585952014062410011802009502,1,EPC-L5,Consider replacing T8 lamps with retrofit T5 conversion kit.,LOW
LONG,93045585952014062410011802009502,1,EPC-E7,"Carry out a pressure test, identify and treat identified air leakage. Enter result in EPC calculation.",MEDIUM
MEDIUM,93045585952014062410011802009502,1,EPC-H7,Add optimum start/stop to the heating system.,LOW
LONG,93045585952014062410011802009502,2,EPC-E8,Some glazing is poorly insulated. Replace/improve glazing and/or frames.,MEDIUM
SHORT,93045585952014062410011802009502,2,EPC-L7,Introduce HF (high frequency) ballasts for fluorescent tubes: Reduced number of fittings required.,LOW
LONG,93045585952014062410011802009502,3,EPC-R5,Consider installing an air source heat pump.,HIGH
LONG,93045585952014062410011802009502,4,EPC-R1,Consider installing a ground source heat pump.,HIGH
LONG,93045585952014062410011802009502,5,EPC-R2,Consider installing building mounted wind turbine(s).,LOW
LONG,93799460022014081514464375730030,1,EPC-R4,Consider installing PV.,LOW
OTHER,73380982032012112314464871900398,1,USER,Consider replacing Halogen lights with LED spotlights.,LOW
OTHER,73380982032012112314464871900398,2,EPC-R4,Consider installing PV.,HIGH
MEDIUM,73701870962012120307415888990510,1,EPC-E4,Some walls have uninsulated cavities - introduce cavity wall insulation.,MEDIUM
SHORT,73701870962012120307415888990510,1,EPC-L1,Replace 38mm diameter (T12) fluorescent tubes on failure with 26mm (T8) tubes.,HIGH
LONG,73701870962012120307415888990510,1,EPC-E8,Some glazing is poorly insulated. Replace/improve glazing and/or frames.,MEDIUM
LONG,73701870962012120307415888990510,2,EPC-R5,Consider installing an air source heat pump.,HIGH
SHORT,73701870962012120307415888990510,2,EPC-L2,Replace tungsten GLS lamps with CFLs: Payback period dependent on hours of use.,LOW
LONG,73701870962012120307415888990510,3,EPC-R2,Consider installing building mounted wind turbine(s).,LOW
LONG,73701870962012120307415888990510,4,EPC-R1,Consider installing a ground source heat pump.,HIGH
LONG,73701870962012120307415888990510,5,EPC-R3,Consider installing solar water heating.,LOW
MEDIUM,73724820922012113015163839290262,1,EPC-L7,Introduce HF (high frequency) ballasts for fluorescent tubes: Reduced number of fittings required.,LOW
LONG,73724820922012113015163839290262,1,EPC-E7,"Carry out a pressure test, identify and treat identified air leakage. Enter result in EPC calculation.",MEDIUM
SHORT,73724820922012113015163839290262,1,EPC-L2,Replace tungsten GLS lamps with CFLs: Payback period dependent on hours of use.,LOW
SHORT,73724820922012113015163839290262,2,EPC-L5,Consider replacing T8 lamps with retrofit T5 conversion kit.,LOW
LONG,73724820922012113015163839290262,2,EPC-E8,Some glazing is poorly insulated. Replace/improve glazing and/or frames.,MEDIUM
MEDIUM,73724820922012113015163839290262,2,EPC-E5,Some windows have high U-values - consider installing secondary glazing.,MEDIUM
MEDIUM,73724820922012113015163839290262,3,EPC-H6,Add local temperature control to the heating system.,MEDIUM
LONG,73724820922012113015163839290262,3,EPC-R2,Consider installing building mounted wind turbine(s).,LOW
LONG,73724820922012113015163839290262,4,EPC-R3,Consider installing solar water heating.,LOW
LONG,73724820922012113015163839290262,5,EPC-E2,Roof is poorly insulated. Install or improve insulation of roof.,MEDIUM
LONG,73729160922012120307503218090370,1,EPC-E4,Some walls have uninsulated cavities - introduce cavity wall insulation.,LOW
SHORT,73729160922012120307503218090370,1,EPC-L1,Replace 38mm diameter (T12) fluorescent tubes on failure with 26mm (T8) tubes.,HIGH
LONG,73729160922012120307503218090370,2,EPC-R2,Consider installing building mounted wind turbine(s).,LOW
SHORT,73729160922012120307503218090370,2,EPC-L2,Replace tungsten GLS lamps with CFLs: Payback period dependent on hours of use.,LOW
SHORT,73729160922012120307503218090370,3,EPC-L5,Consider replacing T8 lamps with retrofit T5 conversion kit.,LOW
LONG,73729160922012120307503218090370,3,EPC-R3,Consider installing solar water heating.,LOW
LONG,73729160922012120307503218090370,4,EPC-E8,Some glazing is poorly insulated. Replace/improve glazing and/or frames.,LOW
LONG,73729160922012120307503218090370,5,EPC-R5,Consider installing an air source heat pump.,HIGH
MEDIUM,77784680302013032507382283300070,1,EPC-L7,Introduce HF (high frequency) ballasts for fluorescent tubes: Reduced number of fittings required.,LOW
LONG,77784680302013032507382283300070,1,EPC-H7,Add optimum start/stop to the heating system.,MEDIUM
SHORT,77784680302013032507382283300070,1,EPC-L2,Replace tungsten GLS lamps with CFLs: Payback period dependent on hours of use.,LOW
MEDIUM,77784680302013032507382283300070,2,EPC-H2,Add time control to heating system.,MEDIUM
LONG,77784680302013032507382283300070,2,EPC-E4,Some walls have uninsulated cavities - introduce cavity wall insulation.,MEDIUM
SHORT,77784680302013032507382283300070,2,EPC-L5,Consider replacing T8 lamps with retrofit T5 conversion kit.,HIGH
LONG,77784680302013032507382283300070,3,EPC-E5,Some windows have high U-values - consider installing secondary glazing.,MEDIUM
LONG,77784680302013032507382283300070,4,EPC-R2,Consider installing building mounted wind turbine(s).,LOW
LONG,77784680302013032507382283300070,5,EPC-H6,Add local temperature control to the heating system.,MEDIUM
SHORT,8780250022009012807480790990411,1,EPC-L5,Consider replacing T8 lamps with retrofit T5 conversion kit.,HIGH
MEDIUM,8780250022009012807480790990411,1,EPC-H7,Add optimum start/stop to the heating system.,MEDIUM
OTHER,8780250022009012807480790990411,1,EPC-W1,Install more efficient water heater.,LOW
LONG,8780250022009012807480790990411,1,EPC-E5,Some windows have high U-values - consider installing secondary glazing.,MEDIUM
LONG,8780250022009012807480790990411,2,EPC-H6,Add local temperature control to the heating system.,MEDIUM
MEDIUM,8780250022009012807480790990411,2,EPC-E4,Some walls have uninsulated cavities - introduce cavity wall insulation.,MEDIUM
OTHER,8780250022009012807480790990411,2,EPC-W2,Consider replacing HWS with point of use system.,LOW
LONG,8780250022009012807480790990411,3,EPC-H8,Add weather compensation controls to heating system.,MEDIUM
OTHER,8780250022009012807480790990411,3,EPC-E6,Some loft spaces are poorly insulated - install/improve insulation.,HIGH
LONG,8780250022009012807480790990411,4,EPC-H5,Add local time control to heating system.,LOW
OTHER,8780250022009012807480790990411,4,USER,TEXT,LOW
OTHER,8780250022009012807480790990411,5,USER,TEXT,LOW
LONG,8780250022009012807480790990411,5,EPC-H3,Consider replacing heating boiler plant with a condensing type.,HIGH
MEDIUM,87890040742014092713130973300210,1,EPC-H2,Add time control to heating system.,LOW
LONG,87890040742014092713130973300210,1,EPC-E4,Some walls have uninsulated cavities - introduce cavity wall insulation.,MEDIUM
SHORT,87890040742014092713130973300210,1,EPC-L5,Consider replacing T8 lamps with retrofit T5 conversion kit.,HIGH
LONG,87890040742014092713130973300210,2,EPC-E5,Some windows have high U-values - consider installing secondary glazing.,MEDIUM
MEDIUM,87890040742014092713130973300210,2,EPC-H7,Add optimum start/stop to the heating system.,MEDIUM
SHORT,87890040742014092713130973300210,2,EPC-L7,Introduce HF (high frequency) ballasts for fluorescent tubes: Reduced number of fittings required.,LOW
SHORT,87890040742014092713130973300210,3,EPC-V1,"In some spaces, the solar gain limit in criterion 3 of ADL2A 2010 is exceeded, which might cause overheating. Consider solar control measures such as the application of reflective coating or shading devices to windows.",MEDIUM
LONG,87890040742014092713130973300210,3,EPC-H6,Add local temperature control to the heating system.,MEDIUM
LONG,87890040742014092713130973300210,4,EPC-H8,Add weather compensation controls to heating system.,MEDIUM
LONG,87890040742014092713130973300210,5,EPC-E6,Some loft spaces are poorly insulated - install/improve insulation.,MEDIUM
MEDIUM,90005816912014032017213705009784,1,EPC-H7,Add optimum start/stop to the heating system.,LOW
SHORT,90005816912014032017213705009784,1,EPC-L2,Replace tungsten GLS lamps with CFLs: Payback period dependent on hours of use.,LOW
LONG,90005816912014032017213705009784,1,EPC-H8,Add weather compensation controls to heating system.,LOW
MEDIUM,90005816912014032017213705009784,2,EPC-H4,The default heat generator efficiency is chosen. It is recommended that the heat generator system be investigated to gain an understanding of its efficiency and possible improvements.,LOW
LONG,90005816912014032017213705009784,2,EPC-H5,Add local time control to heating system.,LOW
SHORT,90005816912014032017213705009784,2,EPC-L5,Consider replacing T8 lamps with retrofit T5 conversion kit.,MEDIUM
MEDIUM,90005816912014032017213705009784,3,EPC-E4,Some walls have uninsulated cavities - introduce cavity wall insulation.,LOW
LONG,90005816912014032017213705009784,3,EPC-E7,"Carry out a pressure test, identify and treat identified air leakage. Enter result in EPC calculation.",LOW
SHORT,90005816912014032017213705009784,3,EPC-L7,Introduce HF (high frequency) ballasts for fluorescent tubes: Reduced number of fittings required.,LOW
LONG,90005816912014032017213705009784,4,EPC-E8,Some glazing is poorly insulated. Replace/improve glazing and/or frames.,LOW
MEDIUM,90005816912014032017213705009784,4,EPC-E5,Some windows have high U-values - consider installing secondary glazing.,LOW
SHORT,90005816912014032017213705009784,4,EPC-V1,"In some spaces, the solar gain limit in criterion 3 of ADL2A 2010 is exceeded, which might cause overheating. Consider solar control measures such as the application of reflective coating or shading devices to windows.",MEDIUM
LONG,90005816912014032017213705009784,5,EPC-R5,Consider installing an air source heat pump.,MEDIUM
SHORT,90005816912014032017213705009784,5,EPC-H2,Add time control to heating system.,LOW
SHORT,90005816912014032017213705009784,6,EPC-C1,The default chiller efficiency is chosen. It is recommended that the chiller system be investigated to gain an understanding of its efficiency and possible improvements.,LOW
LONG,90369340502014040317444186030270,1,EPC-W1,Install more efficient water heater.,MEDIUM
SHORT,90369340502014040317444186030270,1,EPC-E4,Some walls have uninsulated cavities - introduce cavity wall insulation.,HIGH
LONG,90369340502014040317444186030270,2,EPC-R2,Consider installing building mounted wind turbine(s).,LOW
SHORT,90369340502014040317444186030270,2,EPC-E7,"Carry out a pressure test, identify and treat identified air leakage. Enter result in EPC calculation.",HIGH
LONG,90369340502014040317444186030270,3,EPC-W2,Consider replacing HWS with point of use system.,LOW
LONG,90369340502014040317444186030270,4,EPC-R3,Consider installing solar water heating.,LOW
LONG,90369340502014040317444186030270,5,EPC-R4,Consider installing PV.,LOW
LONG,90852864032014041111525897000192,1,EPC-E8,Some glazing is poorly insulated. Replace/improve glazing and/or frames.,MEDIUM
SHORT,90852864032014041111525897000192,1,EPC-L1,Replace 38mm diameter (T12) fluorescent tubes on failure with 26mm (T8) tubes.,HIGH
MEDIUM,90852864032014041111525897000192,1,EPC-E5,Some windows have high U-values - consider installing secondary glazing.,MEDIUM
SHORT,90852864032014041111525897000192,2,EPC-V1,"In some spaces, the solar gain limit in criterion 3 of ADL2A 2010 is exceeded, which might cause overheating. Consider solar control measures such as the application of reflective coating or shading devices to windows.",MEDIUM
MEDIUM,90852864032014041111525897000192,2,EPC-H8,Add weather compensation controls to heating system.,MEDIUM
LONG,90852864032014041111525897000192,2,EPC-R2,Consider installing building mounted wind turbine(s).,LOW
LONG,90852864032014041111525897000192,3,EPC-R3,Consider installing solar water heating.,LOW
SHORT,90852864032014041111525897000192,3,EPC-H7,Add optimum start/stop to the heating system.,MEDIUM
MEDIUM,90852864032014041111525897000192,3,EPC-H5,Add local time control to heating system.,MEDIUM
LONG,90852864032014041111525897000192,4,EPC-R4,Consider installing PV.,LOW
MEDIUM,90852864032014041111525897000192,4,EPC-E7,"Carry out a pressure test, identify and treat identified air leakage. Enter result in EPC calculation.",MEDIUM
LONG,91278519252014043014334608009114,1,EPC-C2,Chiller efficiency is low. Consider upgrading chiller plant.,MEDIUM
SHORT,91278519252014043014334608009114,1,EPC-L2,Replace tungsten GLS lamps with CFLs: Payback period dependent on hours of use.,LOW
LONG,91278519252014043014334608009114,2,EPC-R4,Consider installing PV.,LOW
SHORT,91278519252014043014334608009114,2,EPC-L5,Consider replacing T8 lamps with retrofit T5 conversion kit.,HIGH
LONG,91278519252014043014334608009114,3,EPC-E5,Some windows have high U-values - consider installing secondary glazing.,LOW
